point_id,model,BS,final_plot_model_csv,final_plot_model_csv_sha256,adjacent_updated_model_csv,adjacent_updated_model_csv_sha256,final_plot_stps,version_matched_updated_stps,paper_legacy_stps,final_plot_to_updated_pct,artifact_legacy_vs_updated_pct,attribution
fig09-DeepSeekV3-bs1,DeepSeekV3,1,b200_8x1_8_decode_ref_0311.csv,1cd5172bc1f5a48b1e8bab47d54d2bc1b649b7b9c9076ef150fb9ce94a147501,b200_8x1_8_decode_ref_0313.csv,790c97d3555e2868b8ec05cc6f5f4396e68f2e305ff8b8d7639e063e663e2ad7,80.7585146056008,80.7249419170414,80.7249419170414,-0.0415717014153882,-2.22044604925031e-14,historical model state reproduces 0311; release legacy-count path reproduces adjacent 0313 state
fig09-DeepSeekV3-bs2,DeepSeekV3,2,b200_8x1_8_decode_ref_0311.csv,1cd5172bc1f5a48b1e8bab47d54d2bc1b649b7b9c9076ef150fb9ce94a147501,b200_8x1_8_decode_ref_0313.csv,790c97d3555e2868b8ec05cc6f5f4396e68f2e305ff8b8d7639e063e663e2ad7,163.525593232128,163.365427506024,163.365427506024,-0.0979453570159716,-2.1094237467878e-13,historical model state reproduces 0311; release legacy-count path reproduces adjacent 0313 state
fig09-DeepSeekV3-bs4,DeepSeekV3,4,b200_8x1_8_decode_ref_0311.csv,1cd5172bc1f5a48b1e8bab47d54d2bc1b649b7b9c9076ef150fb9ce94a147501,b200_8x1_8_decode_ref_0313.csv,790c97d3555e2868b8ec05cc6f5f4396e68f2e305ff8b8d7639e063e663e2ad7,299.26264243981,298.715171048754,298.715171048754,-0.182940104582507,0,historical model state reproduces 0311; release legacy-count path reproduces adjacent 0313 state
fig09-DeepSeekV3-bs8,DeepSeekV3,8,b200_8x1_8_decode_ref_0311.csv,1cd5172bc1f5a48b1e8bab47d54d2bc1b649b7b9c9076ef150fb9ce94a147501,b200_8x1_8_decode_ref_0313.csv,790c97d3555e2868b8ec05cc6f5f4396e68f2e305ff8b8d7639e063e663e2ad7,538.081992783804,536.343695005437,536.343695005437,-0.323054441828474,0,historical model state reproduces 0311; release legacy-count path reproduces adjacent 0313 state
fig09-DeepSeekV3-bs16,DeepSeekV3,16,b200_8x1_8_decode_ref_0311.csv,1cd5172bc1f5a48b1e8bab47d54d2bc1b649b7b9c9076ef150fb9ce94a147501,b200_8x1_8_decode_ref_0313.csv,790c97d3555e2868b8ec05cc6f5f4396e68f2e305ff8b8d7639e063e663e2ad7,1050.98520755751,1044.43651763404,1044.43651763404,-0.623100104204732,-4.55191440096314e-13,historical model state reproduces 0311; release legacy-count path reproduces adjacent 0313 state
fig09-DeepSeekV3-bs32,DeepSeekV3,32,b200_8x1_8_decode_ref_0311.csv,1cd5172bc1f5a48b1e8bab47d54d2bc1b649b7b9c9076ef150fb9ce94a147501,b200_8x1_8_decode_ref_0313.csv,790c97d3555e2868b8ec05cc6f5f4396e68f2e305ff8b8d7639e063e663e2ad7,1880.54148535443,1859.67200198022,1859.67200198022,-1.10975926544267,1.99840144432528e-13,historical model state reproduces 0311; release legacy-count path reproduces adjacent 0313 state
fig09-DeepSeekV3-bs64,DeepSeekV3,64,b200_8x1_8_decode_ref_0311.csv,1cd5172bc1f5a48b1e8bab47d54d2bc1b649b7b9c9076ef150fb9ce94a147501,b200_8x1_8_decode_ref_0313.csv,790c97d3555e2868b8ec05cc6f5f4396e68f2e305ff8b8d7639e063e663e2ad7,3241.7761994698,3180.60116963097,3180.60116963097,-1.88708368729578,-1.11022302462516e-14,historical model state reproduces 0311; release legacy-count path reproduces adjacent 0313 state
fig09-DeepSeekV3-bs128,DeepSeekV3,128,b200_8x1_8_decode_ref_0311.csv,1cd5172bc1f5a48b1e8bab47d54d2bc1b649b7b9c9076ef150fb9ce94a147501,b200_8x1_8_decode_ref_0313.csv,790c97d3555e2868b8ec05cc6f5f4396e68f2e305ff8b8d7639e063e663e2ad7,5358.30362243357,5254.59947278204,5254.59947278204,-1.93539144025648,6.66133814775094e-14,historical model state reproduces 0311; release legacy-count path reproduces adjacent 0313 state
fig09-DeepSeekV3-bs256,DeepSeekV3,256,b200_8x1_8_decode_ref_0311.csv,1cd5172bc1f5a48b1e8bab47d54d2bc1b649b7b9c9076ef150fb9ce94a147501,b200_8x1_8_decode_ref_0313.csv,790c97d3555e2868b8ec05cc6f5f4396e68f2e305ff8b8d7639e063e663e2ad7,8537.53024967649,8351.61641966762,8351.61641966762,-2.17760669153599,-4.44089209850063e-14,historical model state reproduces 0311; release legacy-count path reproduces adjacent 0313 state
fig09-DeepSeekV3-bs512,DeepSeekV3,512,b200_8x1_8_decode_ref_0311.csv,1cd5172bc1f5a48b1e8bab47d54d2bc1b649b7b9c9076ef150fb9ce94a147501,b200_8x1_8_decode_ref_0313.csv,790c97d3555e2868b8ec05cc6f5f4396e68f2e305ff8b8d7639e063e663e2ad7,12184.9852550662,11886.4396766227,11886.4396766227,-2.45011029717422,3.5527136788005e-13,historical model state reproduces 0311; release legacy-count path reproduces adjacent 0313 state
