baseline_noc,scaled_layer,bw_multiplier,bs,seq,orig_sm_count,baseline_sm_count,tp,ep,dp,pp,sp,cp,stps_logic_die,stps_noc_to_dram,orig_stps_from_csv,recon_rel_err
torus_mesh_mesh_3,L2,0.5,64,8192,9,8,8,8,2,2,1,1,114250.06018157699,103060.2742976074,114250.060181577,1.2736899398774556e-16
torus_mesh_mesh_3,L2,1.5,256,1024,7,8,1,64,1,4,1,1,158433.48787525602,188585.4767902949,158433.48787525602,0.0
torus_mesh_mesh_3,L2,1.5,64,8192,7,8,8,8,2,2,1,1,88747.12615734889,103566.87841848609,88747.12615734889,0.0
torus_mesh_mesh_3,L2,1.5,1024,1024,7,8,1,64,1,4,1,1,161084.74390346959,191052.4076448931,161084.7439034696,1.8067403375067125e-16
torus_mesh_mesh_3,L2,1.5,256,8192,7,8,2,32,4,1,1,1,98313.23564863992,113180.04507108974,96141.93531362682,0.022584321065828923
torus_mesh_mesh_3,L2,2.0,64,1024,6,8,2,16,1,4,2,1,127659.36396596949,169076.2964881729,127659.36396596947,1.1399019058442119e-16
torus_mesh_mesh_3,L1,4.0,4,1024,7,8,32,2,1,2,1,2,63203.086279164556,70497.67715541685,63203.08627916456,1.151202898865717e-16
torus_mesh_mesh_3,L1,3.0,4,8192,7,8,32,2,1,2,1,2,68802.92400514016,79564.13322376716,68802.92400514016,0.0
torus_mesh_mesh_3,L2,0.5,16,1024,9,8,8,8,1,2,2,1,164359.02500708678,145529.09457843844,164359.02500708678,0.0
torus_mesh_mesh_3,L2,0.5,1,1024,9,8,64,4,1,1,1,1,14114.499337498606,13262.590010148324,14114.499337498606,0.0
torus_mesh_mesh_3,L1,4.0,16,8192,7,8,8,8,1,2,2,1,87547.34778400479,102999.15897002297,87547.34778400479,0.0
torus_mesh_mesh_3,L2,2.0,256,1024,6,8,1,64,1,4,1,1,140089.33764172165,188585.4767902949,140089.33764172165,0.0
torus_mesh_mesh_3,L1,2.0,4,8192,8,8,32,2,1,2,2,1,78941.15571929186,78941.15571929186,78941.15571929186,0.0
torus_mesh_mesh_3,L1,1.5,4,8192,8,8,32,2,1,2,2,1,78213.77405261704,78213.77405261704,78213.77405261704,0.0
