baseline_noc,scaled_layer,bw_multiplier,bs,orig_sm_count,baseline_sm_count,tp,ep,dp,pp,stps_logic_die,stps_noc_to_dram,orig_stps_from_csv
torus_mesh_mesh_3,L2,2.0,16,6,8,32,8,1,1,1167.7545036763258,1283.9028246838636,1167.7545036763258
torus_mesh_mesh_3,L3,1.0,4096,8,8,1,32,1,8,52484.49195664298,52484.49195664298,52484.49195664298
torus_mesh_mesh_3,L2,4.0,1024,3,8,4,32,1,2,16822.499681094127,31471.24904198582,16822.499681094127
torus_mesh_mesh_3,L3,1.0,64,8,8,16,16,1,1,4495.297756294343,4495.297756294343,4495.297756294343
torus_mesh_mesh_3,L2,3.0,4,5,8,32,8,1,1,245.87577892132038,297.6163806642575,245.8757789213204
torus_mesh_mesh_3,L2,3.0,1,5,8,32,8,1,1,61.84579459441594,75.20695811638187,61.84579459441594
torus_mesh_mesh_3,L3,1.5,4096,7,8,1,32,1,8,44889.96435517556,52660.89002008163,44889.96435517556
torus_mesh_mesh_3,L3,2.0,256,7,8,8,16,1,2,10789.448554351422,11239.226244967413,10789.448554351422
torus_mesh_mesh_3,L3,1.5,64,7,8,16,16,1,1,4463.503888716201,4648.55913857293,4463.503888716201
torus_mesh_switch_1,L1,0.25,1,8,8,16,16,1,1,76.25346615754904,76.25346615754904,76.25346615754904
torus_mesh_switch_1,L1,0.25,256,8,8,8,16,1,2,11481.31885386772,11481.31885386772,11481.31885386772
torus_mesh_switch_1,L1,0.25,64,8,8,16,16,1,1,5072.72846865555,5072.72846865555,5072.72846865555
torus_mesh_switch_1,L1,0.25,4096,8,8,1,32,1,8,50140.90563323316,50140.90563323316,50140.90563323316
torus_mesh_mesh_3,L2,3.0,16,5,8,32,8,1,1,983.445123727753,1283.9028246838636,983.445123727753
torus_mesh_switch_1,L1,0.5,1,8,8,16,16,1,1,76.32156182193472,76.32156182193472,76.32156182193472
torus_mesh_switch_1,L1,0.5,256,8,8,8,16,1,2,11492.915220132485,11492.915220132485,11492.915220132483
torus_mesh_mesh_3,L3,3.0,256,6,8,8,16,1,2,9362.561591161597,11315.125323697142,9362.561591161597
torus_mesh_mesh_3,L3,2.0,4096,7,8,1,32,1,8,44954.37660038577,52749.53520195987,44954.37660038577
torus_mesh_switch_1,L1,0.5,4096,8,8,1,32,1,8,50140.90563323316,50140.90563323316,50140.90563323316
torus_mesh_switch_1,L1,1.0,1,8,8,16,16,1,1,76.33441672393032,76.33441672393032,76.33441672393032
torus_mesh_mesh_3,L2,0.25,1024,9,8,4,16,1,4,31845.75563815977,31450.538981607435,31845.75563815977
torus_mesh_mesh_3,L3,2.0,64,7,8,16,16,1,1,4487.994295324374,4729.177307524275,4487.994295324374
torus_mesh_switch_1,L1,0.5,64,8,8,16,16,1,1,5085.435151128075,5085.435151128075,5085.435151128075
torus_mesh_switch_1,L1,0.25,1024,8,8,4,32,1,2,37947.64765405873,37947.64765405873,37947.64765405873
torus_mesh_mesh_3,L2,4.0,16,3,8,32,8,1,1,714.2246420090825,1283.9028246838636,714.2246420090825
torus_mesh_mesh_3,L2,0.5,1,9,8,32,8,1,1,76.70547643418146,74.92666371004914,76.70547643418146
torus_mesh_mesh_3,L3,1.0,1024,8,8,4,32,1,2,31471.24904198582,31471.24904198582,31471.24904198582
torus_mesh_switch_1,L1,1.0,256,8,8,8,16,1,2,11498.707673960138,11498.707673960138,11498.707673960138
torus_mesh_switch_1,L1,1.0,4096,8,8,1,32,1,8,50140.90563323316,50140.90563323316,50140.90563323316
