candidate_id,expected_utps,expected_stps
prefill_deepseek_bs64_astra_space,1141.58240243441,73061.2737558021
prefill_deepseek_bs64_expanded_parallel,2217.56865955016,141924.39421121
prefill_deepseek_bs64_module_flexible,2527.26391819239,161744.890764313
prefill_deepseek_bs8_astra_space,2570.48044040613,20563.843523249
prefill_deepseek_bs8_expanded_parallel,5598.94570394839,44791.5656315871
prefill_deepseek_bs8_module_flexible,10297.8528960227,82382.8231681818
prefill_qwen_bs1024_astra_space,186.004725623554,190468.839038519
prefill_qwen_bs1024_expanded_parallel,205.261966535112,210188.253731955
prefill_qwen_bs1024_module_flexible,205.261966535112,210188.253731955
prefill_qwen_bs128_astra_space,1412.63465166244,180817.235412793
prefill_qwen_bs128_expanded_parallel,1580.87296064377,202351.738962403
prefill_qwen_bs128_module_flexible,1580.87296064377,202351.738962403
prefill_qwen_bs16_astra_space,6277.3028186709,100436.845098734
prefill_qwen_bs16_expanded_parallel,8523.7131910728,136379.411057165
prefill_qwen_bs16_module_flexible,10120.5283921816,161928.454274906
prefill_qwen_bs1_astra_space,5199.34992795785,5199.34992795785
prefill_qwen_bs1_expanded_parallel,12846.6993208715,12846.6993208715
prefill_qwen_bs1_module_flexible,28577.5196951163,28577.5196951163
prefill_qwen_bs4_astra_space,4964.47205818277,19857.8882327311
prefill_qwen_bs4_expanded_parallel,11578.449944467,46313.7997778678
prefill_qwen_bs4_module_flexible,17297.6944651266,69190.7778605062
prefill_qwen_bs64_astra_space,2355.10923957707,150726.991332932
prefill_qwen_bs64_expanded_parallel,2882.18869486749,184460.076471519
prefill_qwen_bs64_module_flexible,2975.16822941668,190410.766682668
prefill_qwen_bs8_astra_space,5484.47115351983,43875.7692281586
prefill_qwen_bs8_expanded_parallel,10288.1625165717,82305.3001325733
prefill_qwen_bs8_module_flexible,12608.515334828,100868.122678624
