candidate_id,phase,model,bs,tier,tier_order,arch,noc,minibatch,seq,cached_kv,tp,ep,ep1,ep2,sp,cp,dp,fsdp,pp,tp_transform_moe,max_activation_gib,mem_weight_gib,kv_cache_gib,paper_utps,paper_stps,source_stats_run_id,source_candidate_count,source_tie_count,runner_up_gap_pct,kv_len_1,kv_len_2,kv_len_3,kv_len_4
decode_deepseek_bs1024_astra_space,decode,DeepSeekV3,1024,astra_space,1,stacked_gpu_wgmma,torus_mesh_switch_1,32,1,,8,1,1,1,1,1,1,False,32,none,0.07086181640625,2.8318920135498,4.2890625,7.38311053937204,7560.30519231697,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_31c830f093,5,1,29.3460125112228,1024,1365,1707,2048
decode_deepseek_bs1024_expanded_parallel,decode,DeepSeekV3,1024,expanded_parallel,2,stacked_gpu_wgmma,torus_mesh_switch_1,512,1,,2,64,64,1,1,1,1,False,2,none,0.01812744140625,6.72012710571289,1.072265625,30.7327731153176,31470.3596700853,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_8ed3fcc789,205,1,14.2571019905768,1024,1365,1707,2048
decode_deepseek_bs1024_module_flexible,decode,DeepSeekV3,1024,module_flexible,3,stacked_gpu_wgmma,torus_mesh_switch_1,512,1,,4,32,32,1,1,1,1,False,2,replace_only,0.03570556640625,5.78294563293457,2.14453125,37.1689815646006,38061.037122151,DeepSeekV3_stacked_gpu_wgmma_torus_mesh_switch_1_81ba3c4137,403,1,17.316074259653,1024,1365,1707,2048
decode_qwen_bs1_astra_space,decode,Qwen3_235b_a22b,1,astra_space,1,stacked_gpu_wgmma,torus_mesh_switch_1,1,1,,256,1,1,1,1,1,1,False,1,none,3.0517578125e-05,1.91791892051697,0.001434326171875,77.3259658569909,77.3259658569909,Qwen3_235b_a22b_stacked_gpu_wgmma_torus_mesh_switch_1_c38ed82bcd,1,1,,1024,1365,1707,2048
decode_qwen_bs1_expanded_parallel,decode,Qwen3_235b_a22b,1,expanded_parallel,2,stacked_gpu_wgmma,torus_mesh_switch_1,1,1,,64,4,1,1,1,1,1,False,1,none,6.89029693603516e-05,2.06425380706787,0.0057373046875,92.5433456928688,92.5433456928688,Qwen3_235b_a22b_stacked_gpu_wgmma_torus_mesh_switch_1_1039dad8a8,16,1,2.44771289790948,1024,1365,1707,2048
decode_qwen_bs1_module_flexible,decode,Qwen3_235b_a22b,1,module_flexible,3,stacked_gpu_wgmma,torus_mesh_switch_1,1,1,,256,1,1,1,1,1,1,False,1,replace_only,3.0517578125e-05,1.91791892051697,0.001434326171875,122.05758594428,122.05758594428,Qwen3_235b_a22b_stacked_gpu_wgmma_torus_mesh_switch_1_16278ebef1,32,1,7.28487585237292,1024,1365,1707,2048
decode_qwen_bs4_astra_space,decode,Qwen3_235b_a22b,4,astra_space,1,stacked_gpu_wgmma,torus_mesh_switch_1,4,1,,256,1,1,1,1,1,1,False,1,none,0.0001220703125,1.91791892051697,0.0057373046875,71.9752531555376,287.90101262215,Qwen3_235b_a22b_stacked_gpu_wgmma_torus_mesh_switch_1_ad9325e36b,6,1,8.24421937083843,1024,1365,1707,2048
decode_qwen_bs4_expanded_parallel,decode,Qwen3_235b_a22b,4,expanded_parallel,2,stacked_gpu_wgmma,torus_mesh_switch_1,4,1,,64,4,4,1,1,1,1,False,1,none,6.89029693603516e-05,2.06425380706787,0.0057373046875,91.0665545677354,364.266218270942,Qwen3_235b_a22b_stacked_gpu_wgmma_torus_mesh_switch_1_cf829dc8d0,126,1,6.36296897022293,1024,1365,1707,2048
decode_qwen_bs4_module_flexible,decode,Qwen3_235b_a22b,4,module_flexible,3,stacked_gpu_wgmma,torus_mesh_switch_1,4,1,,64,4,4,1,1,1,1,False,1,none,6.89029693603516e-05,2.06425380706787,0.0057373046875,91.0665545677354,364.266218270942,Qwen3_235b_a22b_stacked_gpu_wgmma_torus_mesh_switch_1_cf829dc8d0,252,1,6.36296897022293,1024,1365,1707,2048
decode_qwen_bs16_astra_space,decode,Qwen3_235b_a22b,16,astra_space,1,stacked_gpu_wgmma,torus_mesh_switch_1,16,1,,128,1,1,1,1,1,2,False,1,none,0.0003061294555664,3.61904096603394,0.02294921875,61.2088364304932,979.341382887892,Qwen3_235b_a22b_stacked_gpu_wgmma_torus_mesh_switch_1_3fbfe3cc10,12,1,0.0702604883271785,1024,1365,1707,2048
decode_qwen_bs16_expanded_parallel,decode,Qwen3_235b_a22b,16,expanded_parallel,2,stacked_gpu_wgmma,torus_mesh_switch_1,16,1,,64,4,4,1,1,1,1,False,1,none,0.0002756118774414,2.06425380706787,0.02294921875,78.1177261838105,1249.88361894097,Qwen3_235b_a22b_stacked_gpu_wgmma_torus_mesh_switch_1_88a911bca2,268,1,6.33037551020416,1024,1365,1707,2048
decode_qwen_bs16_module_flexible,decode,Qwen3_235b_a22b,16,module_flexible,3,stacked_gpu_wgmma,torus_mesh_switch_1,16,1,,64,4,4,1,1,1,1,False,1,none,0.0002756118774414,2.06425380706787,0.02294921875,78.1177261838105,1249.88361894097,Qwen3_235b_a22b_stacked_gpu_wgmma_torus_mesh_switch_1_88a911bca2,536,1,6.33037551020416,1024,1365,1707,2048
decode_qwen_bs64_astra_space,decode,Qwen3_235b_a22b,64,astra_space,1,stacked_gpu_wgmma,torus_mesh_switch_1,64,1,,64,1,1,1,1,1,4,False,1,none,0.0011024475097656,7.02128505706787,0.091796875,45.3389434851828,2901.6923830517,Qwen3_235b_a22b_stacked_gpu_wgmma_torus_mesh_switch_1_300f80789b,18,1,0.0891597880411488,1024,1365,1707,2048
decode_qwen_bs64_expanded_parallel,decode,Qwen3_235b_a22b,64,expanded_parallel,2,stacked_gpu_wgmma,torus_mesh_switch_1,64,1,,8,32,32,1,1,1,1,False,1,none,0.0009956359863281,3.43004608154297,0.091796875,58.9828572990721,3774.90286714062,Qwen3_235b_a22b_stacked_gpu_wgmma_torus_mesh_switch_1_cd42f0ee1e,380,1,5.43750476730214,1024,1365,1707,2048
decode_qwen_bs64_module_flexible,decode,Qwen3_235b_a22b,64,module_flexible,3,stacked_gpu_wgmma,torus_mesh_switch_1,64,1,,32,8,8,1,1,1,1,False,1,replace_only,0.0010414123535156,2.25936698913574,0.091796875,70.4359308690824,4507.89957562128,Qwen3_235b_a22b_stacked_gpu_wgmma_torus_mesh_switch_1_21137564e7,760,1,2.03904765577408,1024,1365,1707,2048
decode_qwen_bs128_astra_space,decode,Qwen3_235b_a22b,128,astra_space,1,stacked_gpu_wgmma,torus_mesh_switch_1,64,1,,32,1,1,1,1,1,4,False,2,none,0.0020828247070312,6.97538661956787,0.18359375,36.071973340378,4617.21258756839,Qwen3_235b_a22b_stacked_gpu_wgmma_torus_mesh_switch_1_74c807ed69,21,1,2.06702284124722,1024,1365,1707,2048
decode_qwen_bs128_expanded_parallel,decode,Qwen3_235b_a22b,128,expanded_parallel,2,stacked_gpu_wgmma,torus_mesh_switch_1,64,1,,4,32,32,1,1,1,1,False,2,none,0.0019760131835937,3.38414764404297,0.18359375,49.6145260164751,6350.65933010881,Qwen3_235b_a22b_stacked_gpu_wgmma_torus_mesh_switch_1_9b2b323418,408,1,3.37690045422085,1024,1365,1707,2048
decode_qwen_bs128_module_flexible,decode,Qwen3_235b_a22b,128,module_flexible,3,stacked_gpu_wgmma,torus_mesh_switch_1,128,1,,16,8,8,1,1,1,2,False,1,replace_only,0.0020217895507812,4.30193710327148,0.18359375,56.1272092282322,7184.28278121372,Qwen3_235b_a22b_stacked_gpu_wgmma_torus_mesh_switch_1_01d856fd3b,816,1,0.0644306394608551,1024,1365,1707,2048
